"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
67,"CEZ","16653000.00","30256000.00","7.20","1.90","75817000.00","energy technology",1,"high"
68,"CFI","2096.00","-2447.00","0.02","0.01","10009.00","hospitality industry",0,"low"
69,"CI Games","1001.00","911.00","-0.04","-0.02","8125.00","technology and engineering",0,"middle"
70,"CityServ","4287.00","-463.00","15.60","4.60","5441.00","commercial services",1,"middle"
71,"CCEnergy","-54.00","-265.00","-0.02","-0.01","-54.00","real estate and construction",0,"low"
72,"Cloud","66.29","1928.92","0.13","0.11","4439.29","technology and engineering",0,"high"
73,"Cognor","-13982.00","-78764.00","-0.06","-0.03","6010.00","manufacturing industry",0,"low"
74,"Columbus","-17175.00","-6895.00",NULL,"-0.06","-3293.00","energy technology",0,"low"
75,"Comp","35600.00","-173655.00","7.60","4.40","72138.00","technology and engineering",1,"middle"
76,"Comperia","-1568.00","-2037.00","-0.35","-0.24","-530.00","communication technologies and media",0,"low"
77,"Compremum","-11742.00","-234.00","-0.29","-0.13","-3916.00","real estate and construction",0,"low"
78,"CPD","-112.00","111.00",NULL,"-8.43","-100.00","real estate and construction",0,"low"
79,"CPI Europe","52527.00","88233.00","0.03","0.01","90693.00","real estate and construction",0,"middle"
80,"Creepy Jar","4997.83","7859.07","0.17","0.16","5159.83","technology and engineering",0,"high"
81,"Creotech","1404.00","74270.00","-0.17","-0.09","4529.00","technology and engineering",0,"middle"
82,"Cyber-Folks","13346.00","45104.00","0.31","0.15","56846.00","technology and engineering",0,"high"
83,"Cyfrowy Polsat","195500.00","-280400.00","1.20","0.52","1854000.00","communication technologies and media",1,"middle"
84,"Czerwona Torebka","-2889.00","2980.00","-0.11","-0.06","-497.00","real estate and construction",0,"low"
85,"Dadelo","16972.00","-11119.00","12.60","5.60","26827.00","consumer goods and e-commerce",1,"middle"
86,"Datawalk","-51306.00","31068.00",NULL,"-42.00","-58578.00","technology and engineering",1,"low"
87,"DB Energy","160.06","1271.67","0.62","0.22","2609.82","energy technology",1,"low"
88,"Decora","38707.00","-2248.00","11.10","7.40","61759.00","real estate and construction",1,"high"
89,"Dekpol","30417.00","7189.00","0.17","0.06","51022.00","real estate and construction",0,"high"
90,"Develia","65278.00","-129142.00","0.22","0.08","47515.00","real estate and construction",0,"high"
91,"DGA","568.00","400.00","-0.10","-0.06","-791.00","commercial services",0,"middle"
92,"Diagnostyka","72859.00","-7047.00","14.80","6.30","159313.00","health and life sciences",0,"high"
93,"Digitanet","4682.95","6831.63","0.55","0.32","8558.42","communication technologies and media",0,"high"
94,"Digitree","-1335.43","-1809.77","-0.32","-0.16","-142.49","technology and engineering",0,"low"
95,"Dino","708769.00","-395085.00","9.10","5.30","1182759.00","consumer goods and e-commerce",1,"high"
96,"Dom Development","245650.00","374795.00","14.00","4.10","315841.00","real estate and construction",1,"high"
97,"DMGroup","7447.00","-9106.00","0.15","0.09","13892.00","chemicals and health products",0,"high"
98,"DragoEnt","233.22","-1378.42","0.24","0.20","353.93","technology and engineering",0,"middle"
99,"ECB","1321.00","3029.00","0.56","0.36","2018.00","energy technology",0,"high"
100,"Echo Investment","-85442.00","-183473.00","-0.05","-0.02","-61419.00","real estate and construction",0,"low"
101,"EdInvest","-279.00","233.00","0.03","0.02","-42.00","real estate and construction",0,"middle"
102,"Elektrotim","4276.00","-21148.00","0.29","0.15","6924.00","real estate and construction",0,"high"
103,"Elkop","9469.00","-198.00","0.28","0.23","7954.00","real estate and construction",1,"middle"
104,"Enea","1051428.00","655958.00","0.06","0.03","1940783.00","energy technology",0,"high"
105,"Estar","519102.00","112935.00","0.16","0.14","-362038.00","energy technology",1,"middle"
106,"Energa","848000.00","660.00","6.70","2.40","2171000.00","energy technology",1,"high"
107,"Enap","1515.00","211.00","0.17","0.12","1872.00","real estate and construction",0,"high"
108,"Energoinstal","-2454.00","-1746.00","-0.21","-0.07","-1721.00","real estate and construction",0,"low"
109,"Enter Air","27090.00","-103150.00","0.44","0.06","40151.00","transport and motorization",0,"middle"
110,"Equnico","1189.00","-1542.00","0.04","0.03","4274.00","real estate and construction",0,"high"
111,"Erbud","-13152.00","-102000.00","-0.07","-0.02","2813.00","real estate and construction",0,"low"
112,"ERG","-572.00","-184.00","-0.04","-0.02","812.00","manufacturing industry",0,"low"
113,"Esotiq&Henderson","-74.00","-1180.00","0.16","0.06","4583.00","consumer goods and e-commerce",0,"middle"
114,"Eurocash","-99033.38","152177.35","-16.20","-1.20","350615.33","consumer goods and e-commerce",1,"middle"
115,"Eurohold","71885.00","66975.00","21.80","2.50","216860.00","financial and insurance",1,"middle"
116,"EUCO","321.00","-255.00",NULL,"0.81","448.00","financial and insurance",0,"middle"
117,"Eurotel","4579.00","-32827.00","0.16","0.07","9046.00","technology and engineering",0,"high"
118,"Fabrity","1667.00","-7835.00","5.90","4.00","3307.00","technology and engineering",1,"low"
119,"Fabryka Farb Sniezka","10603.00","-27824.00","0.19","0.09","26634.00","real estate and construction",0,"high"
120,"Forte","50190.00","83824.00","0.05","0.03","127314.00","consumer goods and e-commerce",1,"middle"
121,"Fasing","-116.75","-1817.86","0.06","0.04","9406.38","manufacturing industry",0,"middle"
122,"Feerum","1296.00","-805.00","-0.01","-0.01","2905.00","manufacturing industry",0,"middle"
123,"Ferro","20044.00","-54901.00","0.17","0.10","28760.00","real estate and construction",0,"high"
124,"FON","325.00","-11.00","5.00","3.70","421.00","financial and insurance",1,"low"
125,"Games Operators","812.00","7.00","0.52","0.43","1737.00","technology and engineering",0,"high"
126,"Gaming Factory","-547.00","-1815.00","-0.51","-0.40","148.00","technology and engineering",0,"low"
127,"GENOMTEC","-3205.00","7142.00","-1.16","-0.59","-2501.00","health and life sciences",0,"low"
128,"GETIN","176447.00","9656.00","1.15","0.22","2699.00","financial and insurance",0,"high"
129,"GI Group","-6209.96","-10211.88",NULL,"0.00","-3730.77","commercial services",0,"low"
130,"GPW","108177.00","187239.00","10.40","7.50","117074.00","financial and insurance",1,"middle"
131,"Global Trade Centre","-4000.00","102200.00","-0.08","-0.03","170300.00","real estate and construction",1,"middle"
132,"Gobarto","13936.00","-22477.00","2.30","0.92","60766.00","agriculture and food industry",1,"low"
133,"Grenevia","142000.00","18000.00","6.40","3.40","323000.00","manufacturing industry",1,"high"
134,"Grodno","-22879.00","-1794.00","-0.17","-0.05","-7022.00","manufacturing industry",1,"low"
135,"Grupa Azoty","-288174.00","-39948.00","-0.19","-0.04","-6923.00","chemicals and health products",0,"low"
