"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
293,"Selvita","-986.00","-6985.00","-0.02","-0.01","14128.00","health and life sciences",0,"high"
294,"Serinus","-894.00","-483.00","-0.53","-0.14","-146.00","manufacturing industry",0,"low"
295,"Sfinks","-2019.00","-461.00",NULL,"-0.07","1667.00","hospitality industry",0,"low"
296,"Shoper","19103.00","-4516.00","28.70","12.90","34873.00","technology and engineering",1,"high"
297,"Silvair","171.00","67.00","-0.02","-0.01","716.00","technology and engineering",0,"low"
298,"Simfabric","841.00","1816.00","-0.03","-0.02","2907.00","technology and engineering",0,"middle"
299,"Skarbiec Holding","61701.00","466717.00","0.29","0.08","59624.00","financial and insurance",1,"low"
300,"Skyline","-148.00","-241.00","0.00","0.00","-314.00","financial and insurance",0,"low"
301,"Soho Development","-1127.00","1822.00","9.80","9.40","-1378.00","real estate and construction",1,"middle"
302,"Sonel","4195.00","13163.00","0.20","0.14","8451.00","manufacturing industry",0,"high"
303,"Sopharma D","70397.00","-1082.00","7.90","3.60","106147.00","chemicals and health products",1,"middle"
304,"Spyrosoft","16968.00","1082.00","12.40","6.30","29599.00","technology and engineering",1,"middle"
305,"Stalexport","48138.00","-12581.00","7.20","4.10","109775.00","transport and motorization",1,"middle"
306,"Stalprodukt","-24324.00","-141426.00","0.67","0.50","68860.00","manufacturing industry",1,"low"
307,"Stalprofit","3731.00","-9017.00","0.75","0.30","27595.00","manufacturing industry",1,"low"
308,"Starhedge","73.00","211.00","-0.31","-0.23","113.00","financial and insurance",0,"low"
309,"Sunex","-7241.46","592.00","-0.19","-0.06","-3815.95","manufacturing industry",0,"low"
310,"Sygnity","30634.00","18124.00","9.80","7.20","43760.00","technology and engineering",1,"high"
311,"Synektik","71272.24","-38948.84","37.30","17.80","122944.88","health and life sciences",1,"high"
312,"Synthaverse","-538.00","-757.00","0.06","0.03","3364.00","chemicals and health products",0,"high"
313,"TBULL","-629.96","4.43","-0.75","-0.47","-552.40","technology and engineering",0,"low"
314,"Talex","-922.00","-4696.00","1.90","1.05","905.00","technology and engineering",1,"low"
315,"Tarczyński","29304.00","229.00","0.17","0.06","65163.00","agriculture and food industry",0,"high"
316,"Tauron","1130000.00","1035000.00","0.07","0.03","2365000.00","energy technology",0,"high"
317,"TSGames","47442.93","-61813.72","24.90","14.10","60566.91","technology and engineering",1,"high"
318,"Tenderhut","287.00","-1278.00","-0.18","-0.12","700.00","technology and engineering",0,"low"
319,"Termo-rex","450.00","1691.00","0.07","0.06","336.00","chemicals and health products",0,"high"
320,"Tesgas","-5126.00","-12518.00","6.20","4.40","-3592.00","real estate and construction",1,"middle"
321,"Text","164418.00","-7156.00","1.25","0.75","201608.00","technology and engineering",1,"middle"
322,"Torpol","30529.00","105413.00","5.80","2.80","48207.00","real estate and construction",1,"high"
323,"Tower","719.74","-120.25","-4.02","-0.78","-141.41","real estate and construction",0,"low"
324,"Toya","49479.00","51215.00","9.60","6.81","72633.00","communication technologies and media",1,"middle"
325,"Trakcja","-9815.00","-20505.00","0.13","0.03","-4996.00","real estate and construction",0,"middle"
326,"Trans Polonia","897.00","-1016.00","0.03","0.02","5043.00","transport and motorization",0,"low"
327,"Triton","-782.00","3257.00","-0.07","-0.04","-135.00","real estate and construction",0,"low"
328,"Ulma","309.00","1038.00","0.04","0.04","15290.00","real estate and construction",0,"high"
329,"Ultimate Games","1638.00","612.00","0.11","0.10","2333.00","technology and engineering",0,"high"
330,"Unfold","-305.43","1105.58","-0.25","-0.25","-234.88","financial and insurance",0,"low"
331,"Unibep","350.65","-118530.01","0.20","0.02","51496.40","real estate and construction",1,"low"
332,"Unimot","-10139.00","-184862.00","0.10","0.03","41795.00","chemicals and health products",0,"middle"
333,"Urteste","-740.00","-1237.00","-0.12","-0.10","-753.00","health and life sciences",0,"high"
334,"Vercom","45098.00","-20593.00","11.80","8.06","61575.00","technology and engineering",1,"high"
335,"VIGO","-1713.00","-6492.00","-0.02","-0.02","3126.00","technology and engineering",0,"low"
336,"Vivid","99.14","-107.49","-0.08","-0.03","679.97","technology and engineering",0,"low"
337,"Votum","43555.00","44275.00","0.45","0.25","51257.00","financial and insurance",0,"high"
338,"Voxel","46143.00","-44896.60","12.90","7.40","89215.80","health and life sciences",1,"low"
339,"Warimpex","-3032.00","103.00","-4.30","-1.30","621.00","real estate and construction",1,"low"
340,"Wasko","483.00","-14063.00","0.03","0.02","3660.00","technology and engineering",0,"low"
341,"Wawel","27519.00","-47469.00","3.70","3.21","40842.00","agriculture and food industry",1,"low"
342,"Wielton","-52335.00","-8227.00","-0.34","-0.09","-16595.00","transport and motorization",0,"low"
343,"Wikana","824.00","-1081.00","0.28","0.15","1536.00","real estate and construction",0,"middle"
344,"Wirtualna","-1064.00","367711.00","-0.12","-0.02","171468.00","communication technologies and media",1,"low"
345,"Wittchen","4217.00","-8011.00","0.18","0.10","11838.00","consumer goods and e-commerce",0,"high"
346,"Woodpecker","-305.00","-564.00","-0.03","-0.02","670.00","technology and engineering",0,"low"
347,"X-plus","1690.00","7678.00","0.42","0.20","3372.00","technology and engineering",0,"high"
348,"XTB","410071.00","41482.00","23.30","5.60","564007.00","financial and insurance",1,"middle"
349,"XTPL","-7257.00","-7457.00","-0.79","-0.49","-5877.00","technology and engineering",0,"low"
350,"YARRL","1252.00","1133.00","0.12","0.08","1445.00","technology and engineering",0,"high"
351,"Zabka","89231.00","815843.00","5.80","0.50","1546635.00","consumer goods and e-commerce",1,"high"
352,"Zremb-Chojnice","2517.00","340.70","0.42","0.23","1136.45","manufacturing industry",0,"high"
353,"Zamet","-1419.00","34035.00","0.09","0.07","-3312.00","manufacturing industry",0,"middle"
354,"Zepak","-13801.00","-94176.00","0.12","0.07","-1811.00","energy technology",0,"middle"
355,"ZUE","5634.00","-41220.00","2.70","0.83","18077.00","real estate and construction",1,"low"
356,"Efekt","2864.00","3042.00","2.30","1.41","7759.00","commercial services",1,"low"
357,"Vindexus","5908.00","9001.00","0.09","0.06","9348.00","real estate and construction",0,"high"
358,"Enelmed","6153.00","9868.00","0.11","0.04","25879.00","health and life sciences",0,"high"
359,"Orcogroup","55892.00","-64016.00","3.70","0.85","26849.00","real estate and construction",1,"middle"
360,"Rafamet","-4906.00","-1319.00","-1.02","-0.28","-2266.00","manufacturing industry",0,"low"
361,"Immobile","-4040.00","-11068.00","-0.32","-0.07","15396.00","financial and insurance",0,"low"
362,"Bogdanka","264228.00","-381064.00","8.90","6.50","408462.00","manufacturing industry",1,"high"
363,"Hydrotor","-1461.00","158.00","-0.11","-0.07","1645.00","manufacturing industry",0,"low"
364,"Kompap","479.00","4840.00","0.68","0.42","5001.00","manufacturing industry",1,"low"
365,"FMG","3312.00","3435.00","0.10","0.05","4126.00","financial and insurance",0,"high"
366,"IBSM","1130.00","-79.00","0.03","0.01","715.00","real estate and construction",0,"middle"
367,"Ropczyce","2211.00","11659.00","0.56","0.38","16135.00","real estate and construction",1,"low"
368,"Otmuchów","6240.00","-6986.00","0.06","0.03","11283.00","agriculture and food industry",0,"middle"
369,"Stąporków","714.00","-743.00","0.15","0.08","1234.00","manufacturing industry",0,"middle"
370,"Kogenera","184530.00","-7722.00","6.00","3.60","296779.00","energy technology",1,"high"
